vehicle_class,vehicle_detail,vehicle_detail_display,TEMPO.Tech,Notes
LDV,BEV150,Battery Electric Vehicle (150-mile range),not_selected,
LDV,BEV200,Battery Electric Vehicle (200-mile range),BEV_200,
LDV,BEV300,Battery Electric Vehicle (300-mile range),BEV_300,
LDV,BEV400,Battery Electric Vehicle (400-mile range),BEV_400,
LDV,Conventional CI,Diesel Conventional Compression Ignition Vehicle,not_selected,
LDV,Conventional CNG,Compressed Natural Gas Conventional Vehicle,ICEV_NG,
LDV,Conventional SI,Gasoline ICE Vehicle (spark ignition),not_selected,
LDV,Conventional SI Turbo,Gasoline ICE Vehicle (spark ignition with turbo),ICEV_Gasoline,
LDV,EREVPHEV 35AER,Gasoline Extended Range Plug-in Hybrid Electric Vehicle (35-mile electric range),PHEV_25,Battery cost adjusted to reflect 25-mi range
LDV,EREVPHEV 50AER,Gasoline Extended Range Plug-in Hybrid Electric Vehicle (50-mile electric range),PHEV_50,
LDV,FCEV,Hydrogen Fuel Cell Electric Vehicle,FCEV,
LDV,Micro Hybrid SI,Gasoline Micro Hybrid Electric Vehicle (spark ignition),not_selected,
LDV,Micro Hybrid SI Turbo,Gasoline Micro Hybrid Electric Vehicle (spark ignition with turbo),not_selected,
LDV,Mild Hybrid BISG SI,Gasoline Mild Hybrid Electric Vehicle (belt-driven integrated starter generator with spark ignition),not_selected,
LDV,Mild Hybrid BISG SI Turbo,Gasoline Mild Hybrid Electric Vehicle (belt-driven integrated starter generator with spark ignition and turbo),not_selected,
LDV,SplitHEV,Gasoline Power Split Hybrid Electric Vehicle,HEV_Gasoline,
LDV,SplitPHEV,Gasoline Power Split Plug-in Hybrid Electric Vehicle (30-mile electric range),not_selected,
MHDV,Conv CI,Diesel ICE Vehicle,ICEV_Diesel,
MHDV,ISG CI,Diesel ICE Vehicle with Integrated Starter Generator,not_selected,
MHDV,ParHEV CI,Diesel Parallel Hybrid Electric Vehicle,HEV_Diesel,
MHDV,SeriesPHEV CI,Diesel Series Plug-in Hybrid Electric Vehicle,not_selected,
MHDV,BEV,Battery Electric Vehicle,BEV,Adjusted for BEV ranges by Mode
MHDV,FCEV,Hydrogen Fuel Cell Electric Vehicle,not_selected,
MHDV,FCHEV,Hydrogen Fuel Cell Hybrid Electric Vehicle,FCEV,
